SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,21420 95th Pl S,Kent,WA,98031,469000,3,2.5,East Hill,1890,13011,1996,2,248,,Active,,,http://www.redfin.com/WA/Kent/21420-95th-Pl-S-98031/home/385555,NWMLS,1522041,N,Y,47.4098287,-122.2130219
MLS Listing,,Condo/Co-op,1800 NE 40th St Unit D 101,Newcastle,WA,98056,347000,2,1.75,Newcastle,1076,143292,1999,2,322,414,Active,,,http://www.redfin.com/WA/Renton/1800-NE-40th-St-98056/unit-D101/home/30105,NWMLS,1521991,N,Y,47.527765,-122.1940462
MLS Listing,,Single Family Residential,23007 84th Ave W,Edmonds,WA,98026,499950,3,1.0,Chase Lake,1294,7405,1954,3,386,,Active,September-28-2019 02:00 PM,September-28-2019 04:00 PM,http://www.redfin.com/WA/Edmonds/23007-84th-Ave-W-98026/home/2674029,NWMLS,1521529,N,Y,47.7903263,-122.3460347
MLS Listing,,Condo/Co-op,965 W Nickerson St #24,Seattle,WA,98119,499950,2,1.75,Queen Anne,1154,13225,1984,3,433,440,Active,September-29-2019 02:00 PM,September-29-2019 04:00 PM,http://www.redfin.com/WA/Seattle/965-W-Nickerson-St-98119/unit-24/home/29812,NWMLS,1520676,N,Y,47.6535006,-122.3698489
MLS Listing,,Condo/Co-op,22910 90th Ave W Unit D304,Edmonds,WA,98026,307000,1,1.0,Chase Lake,744,211023,1969,3,413,228,Active,,,http://www.redfin.com/WA/Edmonds/22910-90th-Ave-W-98026/unit-D304/home/16879222,NWMLS,1520038,N,Y,47.7905065,-122.3550289
MLS Listing,,Condo/Co-op,525 Belmont Ave E Unit 3C,Seattle,WA,98102,469000,1,1.0,Seattle,771,21590,1965,3,608,382,Active,,,http://www.redfin.com/WA/Seattle/525-Belmont-Ave-E-98102/unit-3C/home/10214,NWMLS,1520675,N,Y,47.6239079,-122.3243755
MLS Listing,,Single Family Residential,19515 170th Ave NE,Woodinville,WA,98072,474900,3,0.75,Wellington,960,15094,1967,3,495,,Active,,,http://www.redfin.com/WA/Woodinville/19515-170th-Ave-NE-98072/home/270799,NWMLS,1519794,N,Y,47.7693133,-122.1132764
MLS Listing,,Condo/Co-op,12345 Roosevelt Way NE #311,Seattle,WA,98125,369000,2,2.0,Seattle,832,22055,2000,3,444,328,Active,September-29-2019 11:00 AM,September-29-2019 01:00 PM,http://www.redfin.com/WA/Seattle/12345-Roosevelt-Way-NE-98125/unit-311/home/1149,NWMLS,1520819,N,Y,47.7189409,-122.318573
MLS Listing,,Single Family Residential,21245 40th Pl S #44,SeaTac,WA,98198,419950,3,2.5,SeaTac,1783,1526204,2006,3,236,150,Active,,,http://www.redfin.com/WA/SeaTac/21245-40th-Pl-S-98198/unit-44/home/12318590,NWMLS,1521515,N,Y,47.4110977,-122.2840905
MLS Listing,,Condo/Co-op,6858 139th Ave NE #729,Redmond,WA,98052,419000,2,1.75,Redmond,1213,461233,1972,3,345,564,Active,,,http://www.redfin.com/WA/Redmond/6858-139th-Ave-NE-98052/unit-729/home/12723,NWMLS,1520908,N,Y,47.6674103,-122.1556811
