sale_type,property_type,address,city,state,zip,price,beds,baths,location,square_feet,lot_size,year_built,days_on_market,cost_per_square_foot,payment_hoa,status,next_open_house_start_time,next_open_house_end_time,url,source,mls,latitude,longitude,time_commute_joe,time_commute_kira,time_downtown,time_hiking,time_airport,time_commute,payment_loan,payment_pmi,payment_taxes,payment_maint,payment_hoi,payment_total,beds_score,baths_score,payment_score,square_feet_score,time_commute_score,time_downtown_score,time_hiking_score,time_airport_score,total_score
MLS Listing,Condo/Co-op,1800 NE 40th St Unit D 101,Newcastle,WA,98056,347000,2,1.75,Newcastle,1076,143292,1999,2,322,414,Active,NA,NA,http://www.redfin.com/WA/Renton/1800-NE-40th-St-98056/unit-D101/home/30105,NWMLS,1521991,47.527765,-122.1940462,9.366666667,14.21666667,18.4,21.46666667,14.58333333,14.21666667,1375.453307,123.75,361.4583333,289.1666667,86.75,2650.578307,1,0.854,0.381,2,3.858,0.969,0.498,0.5,10.06
MLS Listing,Condo/Co-op,22910 90th Ave W Unit D304,Edmonds,WA,98026,307000,1,1,Chase Lake,744,211023,1969,3,413,228,Active,NA,NA,http://www.redfin.com/WA/Edmonds/22910-90th-Ave-W-98026/unit-D304/home/16879222,NWMLS,1520038,47.7905065,-122.3550289,37.06666667,33.78333333,20.15,42.68333333,33.43333333,37.06666667,1190.20707,107.0833333,319.7916667,255.8333333,76.75,2177.665404,0,0,1.811,0.574,0.486,0.929,0.198,0.373,4.371
MLS Listing,Condo/Co-op,12345 Roosevelt Way NE #311,Seattle,WA,98125,369000,2,2,Seattle,832,22055,2000,3,444,328,Active,September-29-2019 11:00 AM,September-29-2019 01:00 PM,http://www.redfin.com/WA/Seattle/12345-Roosevelt-Way-NE-98125/unit-311/home/1149,NWMLS,1520819,47.7189409,-122.318573,30.51666667,27.23333333,13.61666667,36.15,26.9,30.51666667,1477.338737,132.9166667,384.375,307.5,92.25,2722.380404,1,1,0.243,1.249,1.465,1,0.324,0.464,6.745
MLS Listing,Single Family Residential,21245 40th Pl S #44,SeaTac,WA,98198,419950,3,2.5,SeaTac,1783,1526204,2006,3,236,150,Active,NA,NA,http://www.redfin.com/WA/SeaTac/21245-40th-Pl-S-98198/unit-44/home/12318590,NWMLS,1521515,47.4110977,-122.2840905,16.55,13.03333333,22.13333333,32.03333333,11.5,16.55,1713.296131,154.1458333,437.4479167,349.9583333,104.9875,2909.835714,2,1,0.026,2,3.664,0.867,0.396,0.5,10.453
MLS Listing,Single Family Residential,21614 6th Ave S,Normandy Park,WA,98198,449000,2,1.75,Normandy Park,1340,7250,1949,3,335,0,Active,NA,NA,http://www.redfin.com/WA/Normandy-Park/21614-6th-Ave-S-98198/home/345124,NWMLS,1520706,47.4079817,-122.327409,21.21666667,15.23333333,26.2,36.1,12.11666667,21.21666667,1847.83121,166.25,467.7083333,374.1666667,112.25,2968.20621,1,0.854,0.003,2,3.069,0.694,0.325,0.5,8.445
MLS Listing,Condo/Co-op,12904 126th Ct NE Unit J104,Kirkland,WA,98034,345000,2,1.75,Totem Lake,1066,320860,1980,4,324,415,Active,NA,NA,http://www.redfin.com/WA/Kirkland/12904-126th-Ct-NE-98034/unit-J104/home/59159,NWMLS,1517291,47.7162292,-122.1718042,26.86666667,31.71666667,24.15,31.96666667,32.08333333,31.71666667,1366.190995,122.9166667,359.375,287.5,86.25,2637.232662,1,0.854,0.409,2,1.261,0.788,0.397,0.396,7.105
MLS Listing,Single Family Residential,15150 140th Way SE Unit K103,Renton,WA,98058,309950,2,2.5,Maplewood,1447,1,2000,9,214,642,Active,NA,NA,http://www.redfin.com/WA/Renton/15150-140th-Way-SE-98058/unit-K103/home/62784,NWMLS,1519321,47.4672569,-122.1538619,9.916666667,14.5,25.76666667,18.1,14.86666667,14.5,1203.86898,108.3125,322.8645833,258.2916667,77.4875,2612.82523,1,1,0.464,2,3.839,0.714,0.5,0.5,10.017
MLS Listing,Single Family Residential,617 Prospect Ave N,Kent,WA,98030,429950,3,2.5,Downtown Kent,2064,4895,1940,9,208,0,Active,NA,NA,http://www.redfin.com/WA/Kent/617-Prospect-Ave-N-98030/home/396714,NWMLS,1518083,47.3865105,-122.2247446,19.25,14.4,26.4,31.03333333,15.5,19.25,1759.60769,158.3125,447.8645833,358.2916667,107.4875,2831.56394,2,1,0.091,2,3.349,0.684,0.412,0.5,10.036
MLS Listing,Townhouse,6356 138th Ave NE #215,Redmond,WA,98052,379000,2,1.5,Redmond,1114,286129,1969,9,340,508,Active,NA,NA,http://www.redfin.com/WA/Redmond/6356-138th-Ave-NE-98052/unit-215/home/28447158,NWMLS,1517740,47.6632609,-122.1571095,22.88333333,27.73333333,20.16666667,27.98333333,28.1,27.73333333,1523.650296,137.0833333,394.7916667,315.8333333,94.75,2974.10863,1,0.5,0.002,2,1.958,0.929,0.452,0.451,7.292
MLS Listing,Condo/Co-op,2712 151st Pl SW Unit X102,Lynnwood,WA,98087,320000,3,2.5,Lynnwood,1220,120727,1999,12,262,316,Active,NA,NA,http://www.redfin.com/WA/Lynnwood/2712-151st-Pl-SW-98087/unit-X102/home/2870333,NWMLS,1516449,47.8611246,-122.2734628,35.01666667,39.86666667,24.73333333,40.11666667,38.01666667,39.86666667,1250.412097,112.5,333.3333333,266.6666667,80,2358.912097,2,1,1.185,2,0.209,0.762,0.248,0.289,7.693
MLS Listing,Condo/Co-op,17105 127th Pl NE,Woodinville,WA,98072,349900,2,2,Downtown Woodinville,934,249550,1984,16,375,235,Active,NA,NA,http://www.redfin.com/WA/Woodinville/17105-127th-Pl-NE-98072/home/16003,NWMLS,1515487,47.7524336,-122.1710473,27.56666667,32.41666667,24.85,32.66666667,32.78333333,32.41666667,1388.883659,124.9583333,364.4791667,291.5833333,87.475,2492.379492,1,1,0.775,1.869,1.146,0.757,0.386,0.384,7.317
MLS Listing,Condo/Co-op,725 9th Ave S #305,Kirkland,WA,98033,405000,2,1,Kirkland,870,42294,1976,16,466,319,Active,NA,NA,http://www.redfin.com/WA/Kirkland/725-9th-Ave-S-98033/unit-305/home/109395635,NWMLS,1515370,47.6676884,-122.1939803,20.46666667,25.31666667,17.98333333,25.58333333,25.68333333,25.31666667,1644.06035,147.9166667,421.875,337.5,101.25,2971.602017,1,0,0.003,1.522,2.389,0.976,0.476,0.476,6.842
MLS Listing,Condo/Co-op,7000 Cleopatra Pl NW #206,Seattle,WA,98117,349000,1,1,Phinney Ridge,673,7350,1989,16,519,307,Active,NA,NA,http://www.redfin.com/WA/Seattle/7000-Cleopatra-Pl-NW-98117/unit-206/home/12537243,NWMLS,1515314,47.6797271,-122.3652213,34.93333333,31.81666667,17.83333333,39.8,28.1,34.93333333,1384.715619,124.5833333,363.5416667,290.8333333,87.25,2557.923952,0,0,0.597,0.16,0.762,0.978,0.254,0.451,3.202
MLS Listing,Townhouse,18886 108th Ln SE,Renton,WA,98005,389888,3,2.25,Renton,1550,1517,2005,16,252,271,Active,NA,NA,http://www.redfin.com/WA/Renton/18886-108th-Ln-SE-98055/home/2089700,NWMLS,1514119,47.43333,-122.194581,15.53333333,12.31666667,27.6,29.31666667,16.7,15.53333333,1574.074322,141.62,406.1333333,324.9066667,97.472,2815.206322,2,1,0.109,2,3.758,0.624,0.436,0.5,10.427
MLS Listing,Condo/Co-op,15110 NE 81st Way #103,Redmond,WA,98052,342156,2,1,Rose Hill,754,156656,2008,16,454,164,Active,NA,NA,http://www.redfin.com/WA/Redmond/15110-NE-81st-Way-98052/unit-103/home/28623895,NWMLS,1514692,47.6756611,-122.1378623,23,27.85,19.78333333,28.1,28.2,27.85,1353.019988,121.7316667,356.4125,285.13,85.539,2365.833154,1,0,1.162,0.647,1.937,0.939,0.451,0.45,6.586
MLS Listing,Condo/Co-op,24316 223rd Pl SE #147,Maple Valley,WA,98038,424950,3,2,Lake Wilderness,2280,0,1998,17,186,91,Active,NA,NA,http://www.redfin.com/WA/Maple-Valley/24316-223rd-Pl-SE-98038/unit-147/home/20950,NWMLS,1514743,47.3853985,-122.0446863,24.53333333,28.78333333,40.36666667,18.98333333,29.46666667,28.78333333,1736.451911,156.2291667,442.65625,354.125,106.2375,2886.699827,2,1,0.041,2,1.77,0.058,0.5,0.434,7.803
